Food,Grams,Calories,Category
Puffed rice,14,55,"Breads, cereals, fastfood,grains"
Puffed wheat presweetened,28,105,"Breads, cereals, fastfood,grains"
Rice,208,748,"Breads, cereals, fastfood,grains"
Converted,187,677,"Breads, cereals, fastfood,grains"
White,191,692,"Breads, cereals, fastfood,grains"
Rice flakes,30,115,"Breads, cereals, fastfood,grains"
Rice polish,50,132,"Breads, cereals, fastfood,grains"
Rolls,50,411,"Breads, cereals, fastfood,grains"
of refined flour,38,115,"Breads, cereals, fastfood,grains"
whole-wheat,40,102,"Breads, cereals, fastfood,grains"
Spaghetti with meat sauce,250,285,"Breads, cereals, fastfood,grains"
with tomatoes and cheese,250,210,"Breads, cereals, fastfood,grains"
Spanish rice,250,217,"Breads, cereals, fastfood,grains"
Shredded wheat biscuit,28,100,"Breads, cereals, fastfood,grains"
Waffles,75,240,"Breads, cereals, fastfood,grains"
Wheat germ,68,245,"Breads, cereals, fastfood,grains"
Wheat-germ cereal toasted,65,260,"Breads, cereals, fastfood,grains"
Wheat meal cereal unrefined,30,103,"Breads, cereals, fastfood,grains"
"Wheat, cooked",200,275,"Breads, cereals, fastfood,grains"
Bean soups,250,190,"Breads, cereals, fastfood,grains"
Beef soup,250,100,"Breads, cereals, fastfood,grains"
Bouillon,240,24,"Breads, cereals, fastfood,grains"
chicken soup,250,75,"Breads, cereals, fastfood,grains"
Clam chowder,255,85,"Breads, cereals, fastfood,grains"
Cream soups,255,200,Soups
Noodle,250,115,Soups
Split-pea soup,250,147,Soups
Tomato soup,245,175,Soups
Vegetable,250,80,Soups
Apple betty,100,150,Soups
Bread pudding,200,374,Soups
Cakes,40,110,Soups
Chocolate fudge,120,420,Soups
Cupcake,50,160,Soups
Fruit cake,30,105,"Desserts, sweets"
Gingerbread,55,180,"Desserts, sweets"
"Plain, with no icing",55,180,"Desserts, sweets"
Sponge cake,40,115,"Desserts, sweets"
Candy,25,104,"Desserts, sweets"
Chocolate creams,30,130,"Desserts, sweets"
Fudge,90,370,"Desserts, sweets"
Hard candies,28,90,"Desserts, sweets"
Marshmallows,30,98,"Desserts, sweets"
Milk chocolate,56,290,"Desserts, sweets"
Chocolate syrup,40,80,"Desserts, sweets"
Doughnuts,33,135,"Desserts, sweets"
"Gelatin, made with water",239,155,"Desserts, sweets"
Honey,42,120,"Desserts, sweets"
Ice cream,300,250,"Desserts, sweets"
Ices,150,117,"Desserts, sweets"
preserves,20,55,"Desserts, sweets"
Jellies,20,50,"Desserts, sweets"
Molasses,20,45,"Jams, Jellies"
Cane Syrup,20,50,"Desserts, sweets"
"9"" diam. pie",135,330,"Desserts, sweets"
Cherry Pie,135,340,"Jams, Jellies"
Custard,130,265,"Jams, Jellies"
Lemon meringue,120,300,"Jams, Jellies"
Mince,135,340,"Jams, Jellies"
Pumpkin Pie,130,265,"Desserts, sweets"
Puddings Sugar,200,770,"Desserts, sweets"
3 teaspoons sugar,12,50,"Desserts, sweets"
"Brown, firm-packed, dark sugar",220,815,"Desserts, sweets"
Syrup,40,100,"Desserts, sweets"
table blends sugar,40,110,"Desserts, sweets"
Tapioca cream pudding,250,335,"Desserts, sweets"
Almonds,70,425,"Desserts, sweets"
roasted and salted,70,439,"Jams, Jellies"
Brazil nuts,70,457,"Jams, Jellies"
Cashews,70,392,"Jams, Jellies"
coconut sweetened,50,274,"Desserts, sweets"
Peanut butter,50,300,Seeds and Nuts
"Peanut butter, natural",50,284,Seeds and Nuts
Peanuts,50,290,Seeds and Nuts
Pecans,52,343,Seeds and Nuts
Sesame seeds,50,280,Seeds and Nuts
Sunflower seeds,50,280,Seeds and Nuts
Walnuts,50,325,Seeds and Nuts
Club soda,346,0,"Drinks, Beverages"
Cola drinks,346,137,"Drinks, Beverages"
Fruit-flavored soda,346,161,"Drinks, Beverages"
Coffee,230,3,"Drinks, Beverages"
Tea,230,4,"Drinks, Beverages"
